geoid,NAME,state_abbr,total_units,permits_per_1000_housing_units,mobile_home_share,RISK_SCORE,RISK_RATNG,SOVI_SCORE,SOVI_RATNG,RESL_SCORE,RESL_RATNG
37171,"Surry County, North Carolina",NC,244,7.230272320502563,0.2303315850297804,73.56870229007633,Relatively Low,61.00508906,Relatively High,24.58651399491094,Relatively Low
22063,"Livingston Parish, Louisiana",LA,654,10.90345276004068,0.2270719061035994,94.46564885496184,Relatively High,35.0826972,Relatively Low,51.14503816793893,Relatively Moderate
01049,"DeKalb County, Alabama",AL,47,1.5179407680134354,0.2217162419662177,80.37531806615776,Relatively Low,74.68193384,Relatively High,13.454198473282442,Very Low
01115,"St. Clair County, Alabama",AL,413,10.52309730680052,0.2210869620607944,72.13740458015268,Relatively Low,30.4389313,Relatively Low,42.04834605597965,Relatively Moderate
37013,"Beaufort County, North Carolina",NC,119,4.851993802495311,0.2171980755117018,88.16793893129771,Relatively Moderate,78.05343511,Relatively High,55.62977099236641,Relatively Moderate
48001,"Anderson County, Texas",TX,13,0.6296009298721427,0.2159046881053855,73.6323155216285,Relatively Low,80.08905852,Very High,32.283715012722645,Relatively Low
01071,"Jackson County, Alabama",AL,49,1.9667656739182788,0.2155414626314521,79.03944020356234,Relatively Low,77.73536896,Relatively High,27.13104325699745,Relatively Low
48177,"Gonzales County, Texas",TX,11,1.2195121951219512,0.2151884700665188,85.65521628498728,Relatively Moderate,90.17175573,Very High,16.06234096692112,Very Low
37107,"Lenoir County, North Carolina",NC,131,4.873693217753637,0.2132519811004873,84.60559796437659,Relatively Moderate,89.82188295,Very High,51.84478371501272,Relatively Moderate
37141,"Pender County, North Carolina",NC,833,26.1587740233639,0.2113741992212033,86.92748091603053,Relatively Moderate,34.22391858,Relatively Low,65.7442748091603,Relatively High
12017,"Citrus County, Florida",FL,2102,24.75008536542288,0.2110939726124174,94.6882951653944,Relatively High,82.28371501,Very High,6.838422391857506,Very Low
01053,"Escambia County, Alabama",AL,8,0.4757373929590866,0.2102164605137964,85.01908396946564,Relatively Moderate,89.69465649,Very High,26.52671755725191,Relatively Low
22047,"Iberville Parish, Louisiana",LA,123,9.08151210868281,0.2092439456585942,73.72773536895674,Relatively Low,68.86132316,Relatively High,92.8117048346056,Very High
